Wavelength,Transmittance_material,Transmittance_atm
6.0571,5.01E-21,9.37E-07
6.0856,2.13E-19,0.038617689
6.1143,1.35E-20,0
6.1433,1.67E-18,3.82E-14
6.1725,7.74E-15,0.041991059
6.202,1.10E-12,0.191261
6.2319,2.92E-11,0.5351614
6.262,2.15E-11,0.4947555
6.2924,1.94E-14,0.2447415
6.3231,2.04E-16,0.3412908
6.3541,4.19E-15,0.008790104
6.3854,1.70E-14,0.015251998
6.417,2.93E-17,0
6.4489,1.07E-16,0.003028746
6.4811,2.03E-14,2.05E-10
6.5137,1.09E-12,0.000213459
6.5466,2.35E-13,4.16E-05
6.5798,4.44E-16,1.58E-09
6.6134,9.70E-20,4.12E-08
6.6473,9.56E-33,2.31E-05
6.6816,1.75E-74,1.82E-07
6.7162,1.10E-129,0.000168264
6.7512,3.09E-154,0.001888674
6.7865,1.78E-145,1.37E-14
6.8223,5.36E-150,0.001569711
6.8583,7.90E-184,2.42E-18
6.8948,2.96E-213,0.2459021
6.9317,1.68E-218,0.4366719
6.969,5.06E-191,0.0682064
7.0066,2.66E-121,0.4887022
7.0447,2.30E-58,1.80E-14
7.0832,2.08E-41,0.054536071
7.1221,7.68E-51,0.1183218
7.1615,4.69E-72,0.059078086
7.2013,4.96E-88,0.3023521
7.2415,3.51E-79,0.8377149
7.2822,3.32E-61,0.008414823
7.3233,2.27E-52,0.7220962
7.3649,5.76E-47,0.6930316
7.407,3.63E-43,0.6663901
7.4496,7.97E-42,0.5064834
7.4926,3.75E-41,0.8996748
7.5362,1.75E-40,0.234869
7.5803,7.63E-43,0.2248807
7.6249,9.45E-48,0.4744715
7.67,1.38E-55,0.1256597
7.7156,1.54E-70,0.3988882
7.7618,3.00E-107,0.1997616
7.8086,3.19E-176,0.6197757
7.8559,3.13E-236,0.5970259
7.9038,5.12E-241,0.3367159
7.9523,1.71E-237,0.8947611
8.0014,5.20E-279,0.7321339
8.0511,9.94E-304,0.9223933
8.1014,1.98E-261,0.9955435
8.1524,2.73E-185,0.9814845
8.204,1.29E-143,0.9676822
8.2562,4.99E-176,0.774865
8.3091,2.54E-294,0.9879524
8.3628,0,0.9862654
8.4171,0,0.9809613
8.4721,0,0.985592
8.5278,0,0.9891208
8.5843,0,0.8778762
8.6415,0,0.9547137
8.6995,0,0.9003714
8.7583,0,0.9874718
8.8179,0,0.978197
8.8783,2.02E-205,0.9883911
8.9395,2.86E-138,0.9687002
9.0016,9.24E-95,0.9675665
9.0645,2.98E-72,0.9772155
9.1284,1.88E-60,0.9830995
9.1931,9.30E-56,0.9652203
9.2588,5.85E-57,0.9740869
9.3254,1.86E-64,0.9741684
9.393,1.74E-67,0.6772811
9.4615,3.23E-50,0.4197413
