L,AG2,AG4,AG6,AG8,AG12,atm
3.66E-06,0.918054253,0.856864,0.7737578,0.6819993,0.5827769,9.79E-01
3.67E-06,0.920143605,0.860177,0.7790527,0.6884504,0.5905459,9.51E-01
3.68E-06,0.920906715,0.8612945,0.7809926,0.6896945,0.5926595,9.65E-01
3.69E-06,0.918630998,0.8575227,0.775217,0.6810342,0.5823901,9.62E-01
3.70E-06,0.910831466,0.8448559,0.7556385,0.6538897,0.5508846,9.77E-01
3.71E-06,0.89714424,0.8228632,0.7220825,0.6091008,0.500657,9.55E-01
3.72E-06,0.873454316,0.7861192,0.6663779,0.5370651,0.4227909,9.74E-01
3.73E-06,0.853508634,0.7557415,0.6217614,0.4817944,0.365909,9.56E-01
3.74E-06,0.856167142,0.7595608,0.6275895,0.4895266,0.3752122,9.60E-01
3.75E-06,0.885432349,0.8040463,0.6941705,0.5741618,0.4654345,9.58E-01
3.76E-06,0.916780056,0.8537907,0.7705405,0.6741112,0.5773136,9.59E-01
3.77E-06,0.93876509,0.8902524,0.8273148,0.7503857,0.6672664,9.57E-01
3.78E-06,0.948993616,0.9075811,0.8546531,0.7883369,0.7133473,9.60E-01
3.79E-06,0.955363786,0.9184678,0.8719796,0.8117617,0.7433829,9.44E-01
3.80E-06,0.959795168,0.9259714,0.8841698,0.8286936,0.7641869,9.57E-01
3.81E-06,0.962920253,0.9313996,0.8928345,0.840522,0.7796555,9.50E-01
3.82E-06,0.965385065,0.9361309,0.8997083,0.8499123,0.7918724,9.53E-01
3.83E-06,0.966767609,0.9383266,0.9035793,0.8551871,0.7984589,9.56E-01
3.84E-06,0.967564977,0.9395476,0.9058169,0.8583882,0.802823,9.47E-01
3.85E-06,0.968150548,0.9404486,0.9074625,0.8602735,0.8053071,9.42E-01
3.86E-06,0.968328257,0.9405794,0.9079623,0.8610949,0.8060906,9.30E-01
3.87E-06,0.968393877,0.9407098,0.9081469,0.8608232,0.8057337,8.95E-01
